iso3c,negara,mapel,skor_rerata,se_rerata,sd,se_sd,skor_10,se_10,skor_25,se_25,skor_50,se_50,skor_75,se_75,skor_90,se_90,selisih_90_10,se_selisih_90_10
AUS,Australia,Matematika,487.0842535121308,1.779614284857578,99.25718014540408,1.0459017765080187,358.46875,1.979094089862276,416.1018,2.0619253839285485,484.5607,1.9667865230779646,555.9391,2.688462208344114,619.0934,3.316114616367908,260.62465,3.4226398233551643
AUT,Austria,Matematika,487.2674989673573,2.3377890130540924,93.58063446159758,1.2400039509314889,362.2608,3.681744800664796,420.416,3.589705502022413,488.9731,2.7114027449929967,554.3788,2.6928153051737054,608.4310999999999,2.7390929053043953,246.1703,4.093069814943306
BEL,Belgium,Matematika,489.48681674494503,2.202874021453933,96.33182698883095,1.0814670910409392,359.4773,2.9805263822948374,420.22720000000004,3.030877355742982,492.1646,2.9732084893680084,558.8709000000001,2.8585562851823525,613.6125000000001,2.723941647609822,254.1352,3.597246803942177
CAN,Canada,Matematika,496.9478944357039,1.5618041791862418,94.00571810888324,0.8481431660702039,375.22130000000004,2.3208936746793603,430.49160000000006,1.721225791445994,496.31659999999994,1.801916298039085,561.6253,2.1633937709521196,618.873,2.2094386557072183,243.65170000000003,2.7090231306690615
CHL,Chile,Matematika,411.6965707080961,2.077902006709292,76.6302568442833,1.0759226585532788,315.0869,2.8798079106465093,357.68230000000005,2.5181365824862603,408.56549999999993,2.5766596897814082,463.55510000000004,2.436366704433515,513.5108,2.7735733586536555,198.42390000000003,3.3147289347446476
COL,Colombia,Matematika,382.6968351295674,3.031013488194706,72.82037542374103,1.5088866306749955,293.2585,3.0925038827111186,331.6645,3.1871637376880018,377.5383000000001,3.522099841556012,429.3221000000001,3.749878865469451,480.6039,4.366946963920498,187.34540000000004,4.230835170999534
CRI,Costa Rica,Matematika,384.57604112435735,1.8877075759401518,65.7048246976127,1.3555635215775603,302.175,2.315776488027293,339.05870000000004,2.1426085683629266,381.7727,2.188994476034856,426.70550000000003,2.5007604124656937,469.78009999999995,3.076152329435084,167.60510000000005,3.3739729252437343
CZE,Czech Republic,Matematika,486.9992078519244,2.0936446969417615,93.35085319887966,1.2373854221925766,365.3455,2.7456182445853607,418.4717,2.971876995477774,485.74890000000005,2.7987606572920014,553.1119000000001,2.7059305507122215,610.128,2.890024611871359,244.7825,3.8420464220111707
DNK,Denmark,Matematika,489.273876942411,1.9488222695141262,81.56431609427675,1.0866119960811957,382.8686,2.51230101345803,432.84130000000005,2.3936783299685676,489.2682,2.476631116501251,545.2059,2.5257163463780268,595.4058,3.0281797514256716,212.53719999999998,3.523918931664654
EST,Estonia,Matematika,509.9469532247615,1.9844748824103422,84.94771686549849,1.0994277487852284,401.2495000000001,2.485344474363661,449.5308,2.521095524656778,509.28580000000005,2.41499495254821,568.5667000000001,2.500772543524187,620.3098,2.981498512237126,219.06029999999998,3.123855081510314
FIN,Finland,Matematika,484.13922563776697,1.857155952008415,89.27698107869521,0.8807696841435814,365.6911,2.546904087509424,420.49870000000004,2.2486602048652062,485.94300000000004,2.2904511089218,547.3369000000001,2.35570233455498,599.5987,2.717382778929427,233.90760000000006,3.1466047932432075
