iso3c,negara,mapel,skor_rerata,se_rerata,sd,se_sd,skor_10,se_10,skor_25,se_25,skor_50,se_50,skor_75,se_75,skor_90,se_90,selisih_90_10,se_selisih_90_10
CHL,Chile,Membaca,447.9789573967023,2.632560064005891,93.27370917298005,1.4324700706032578,328.8314,3.7349342922414426,384.40930000000003,3.2198729943896884,448.3524,3.236850970894051,513.4784000000001,3.346363622069645,567.8916,3.370496080800925,239.06020000000004,4.188570620516669
COL,Colombia,Membaca,408.6650263433265,3.751039710289459,93.24643098399835,1.5466478181511207,290.7597,3.792859083051848,342.2663,3.7498185918343654,403.9178,4.469263556877503,472.5985,4.92398511257791,533.9867,4.5626200605816605,243.22699999999998,4.237347021689666
CRI,Costa Rica,Membaca,415.23308032564466,2.659746946055408,86.28464297688721,1.2494750985333185,305.26810000000006,3.1264387171037855,354.321,3.008412999776163,414.07290000000006,3.376570992557066,474.28439999999995,3.460181289807418,527.7619,4.16324509400754,222.49380000000002,4.288899740237075
CZE,Czech Republic,Membaca,488.6036684603712,2.246223962493539,97.94007071866196,1.44515923761107,359.3705,3.4733024318243078,419.5237,3.1195741158984083,490.23499999999996,2.6813726280168138,558.3272999999999,2.6545407016406193,614.8822,2.976715801339531,255.51170000000002,4.361146087883442
DNK,Denmark,Membaca,488.8009907012354,2.578274856200562,91.89750327941607,1.2898576226602825,367.73290000000003,3.4856043299150086,426.87720000000013,3.417778861031919,491.4293,3.08651014676951,554.0422,2.9816815171979747,605.3850999999999,3.6288103915440058,237.65219999999997,4.4569920237445055
EST,Estonia,Membaca,511.03033164392804,2.3606176888501333,92.48081732442638,1.1072444801453096,388.08310000000006,4.043550066893229,449.0905000000001,3.3395440293382634,514.0550999999999,2.6392546352300523,576.1656,2.4376160174099124,628.444,3.0415696452106205,240.36090000000002,3.711467967009673
FIN,Finland,Membaca,490.2176848135362,2.2554211820939285,104.03406766427868,1.095790684944736,349.8002,3.8671877060044797,420.9704,3.022819368018319,496.90990000000005,2.6915508869836064,564.8781000000001,2.425420218172969,619.4806000000001,2.9891570302790544,269.6804,4.121599682111713
FRA,France,Membaca,473.852158031199,3.074535406687345,105.84226950875104,1.3601226973215819,330.84610000000004,4.4535814481780305,400.0767,4.520479076580884,478.76929999999993,3.3885040428385693,549.4385000000001,3.1403408594185023,607.9506,3.5794675885139897,277.10450000000003,4.260479947076916
DEU,Germany,Membaca,479.79402475457374,3.609103731522342,105.91272445271036,1.5378676548543173,339.8674000000001,5.110162626584297,405.8935,4.490665493183237,482.1896000000001,4.504227126714166,555.7551000000001,3.6758960790382704,615.5989000000002,3.8202562212101063,275.7315,4.9711530217121345
GRC,Greece,Membaca,438.44062522535023,2.8336252992015716,94.31760678847367,1.3359747811232539,315.47589999999997,4.387421169345635,372.1779000000001,3.5405302962817466,438.6944,3.2581928313270723,505.3227000000001,3.0877801808320067,560.7045999999999,3.2866708010454047,245.2287,4.347596541832686
HUN,Hungary,Membaca,472.9747259373598,2.827950549018584,101.46331882219903,1.8972872835981163,335.5354,4.323501223738304,403.92060000000004,4.159789829025815,479.4872,3.8629763003882274,546.4034,3.3417304297324875,599.4296999999999,3.48341541107447,263.89429999999993,5.112853292221242
ISL,Iceland,Membaca,435.89802804978666,2.064959068467695,103.03323159468192,1.3345683202323388,298.3869,4.31871043413296,361.92060000000004,2.9154218738222273,437.2366,3.446030395836319,510.6623000000001,2.965398890630991,569.3088,3.7929242243507555,270.92190000000005,5.411751397345109
IRL,Ireland,Membaca,516.0099753082625,2.3325795277050707,88.17628580822816,1.1654568598068762,399.94780000000003,3.8492415093394934,458.1142,3.173393040667287,520.509,2.609333722534466,577.8236,2.7743349215022013,626.7166,2.5977874712328646,226.76879999999997,3.8684226645042123
ISR,Israel,Membaca,473.8326982093545,3.487341171581806,122.11620533201376,1.586548844749945,305.72909999999996,4.560132892069407,387.90110000000004,4.959793688417561,480.70680000000004,4.284462799886482,563.5629000000001,3.4376463773278885,628.3670000000001,3.7262601706782648,322.63789999999995,5.065855712910488
ITA,Italy,Membaca,481.5982778298936,2.680228100171777,92.26634897726558,1.308612863823042,356.7078,3.7702554525890952,419.90860000000004,3.582403123234614,486.58259999999996,3.1442307127720293,546.945,3.1455045550488983,596.9681,3.493171564877203,240.26030000000003,4.254252998732245
JPN,Japan,Membaca,515.8546137502589,3.176899751902618,96.2630086984182,1.860636177403527,387.26160000000004,5.497635834004772,451.2539000000001,4.219129633651422,521.8403999999999,3.705598991784821,584.9471000000001,3.260194973975222,635.9270000000001,3.4403469221262215,248.6654,5.723588228319825
KOR,Korea,Membaca,515.4153921009976,3.6323098524910353,103.27938996032638,2.512217679574487,379.19930000000005,6.283656891857105,450.96129999999994,4.8274682166080725,522.5194,4.0370178390806615,587.0727,3.6379448232789655,640.9559,4.2158173449159895,261.7566,6.447858224484762
LVA,Latvia,Membaca,474.5686507347839,2.4599988713835828,89.65271262479575,1.5308778236291471,357.5773,3.9438451603592277,413.8092,3.4387894876362757,475.799,2.707724176571329,536.7180999999999,3.030407896843262,590.4474,3.504234842539351,232.8701,4.350084410483701
LTU,Lithuania,Membaca,471.8342299438432,2.209710932156193,94.2419409380596,1.48682961984621,347.64020000000005,4.33196292041943,407.9359,2.747846077359704,473.6977,2.779596199515517,538.3036999999999,2.7983536442582255,592.0218000000001,3.4762336271738707,244.3816,5.258656017793137
MEX,Mexico,Membaca,415.3589621469033,2.923989545994313,84.3254499154311,1.8492253649652088,307.8496,3.722222003741698,356.76559999999995,3.1241794965727454,413.91380000000004,3.215337315141116,472.55729999999994,3.9360369648783715,526.0579000000001,4.820638168103663,218.2083,5.43835362843542
NLD,Netherlands,Membaca,459.24290805644205,4.2822049161557585,114.87616262499692,2.09385674656467,304.4244,6.599409184877423,370.5811,7.299320356794264,462.31260000000003,5.718786730446707,547.669,4.459523366845896,607.7146000000001,3.8114155070473617,303.2902,6.742278382517375
NZL,New Zealand,Membaca,500.8530109556956,2.1173513363109313,109.05675694687932,1.4483566735040105,353.5253,3.750012060943575,424.4113,3.32392743018122,504.46160000000003,2.821249284842126,580.2302000000001,3.0580788733606066,640.5801,3.270655474506085,287.0548,4.84206709206177
