negara,skor_rerata,se_rerata,sd,se_sd,skor_10,se_10,skor_25,se_25,skor_50,se_50,skor_75,se_75,skor_90,se_90,selisih_90_10,se_selisih_90_10
Norway,468.44994989168754,2.0624194087299266,93.46577328788851,0.941667479061969,345.13300000000004,2.647647096847397,400.9937,2.520557214850189,468.7578,2.7780602599255837,534.6479000000002,2.55834259678019,589.1065000000001,2.589406301564766,243.97350000000003,3.1747671598131038
Poland,488.9600537637015,2.2748502812098663,89.45825544460004,1.3884579430071284,370.33180000000004,3.125843185823804,426.36880000000014,3.1884717616969542,490.40810000000005,2.9412343927904394,551.9700000000001,2.6120021363197488,604.2769000000001,3.1039581984585,233.94510000000002,4.247898435648299
Portugal,471.91052210574856,2.3505713863735482,89.63212573660886,1.4520873376665178,355.9181,4.100722548815163,407.55930000000006,3.0152624230045566,470.6481999999999,2.7574678588839028,536.4463,2.6642415109130555,589.2854,2.181761161468982,233.36730000000003,4.341345235414442
Slovak Republic,463.9946184782649,2.8929280025402373,101.08722416683598,1.8260094733277044,327.3133,5.2017572783414066,392.2709,4.396167649103908,468.22950000000003,3.61215291189187,536.4733,2.9975869381563482,590.6346000000001,3.6365768539933154,263.3213,5.916440556618479
Slovenia,484.5290086483499,1.244058661476809,89.23217361742076,1.0263550969513568,369.3448000000001,2.682537314356819,420.94759999999997,1.936610227985712,481.6068,1.8603074365097096,546.0541999999999,2.291819912573117,603.5637,2.6258853227689287,234.21890000000005,3.6986121502418623
Spain,473.1402080246069,1.504376043709479,86.3723560422322,0.7635715331666951,358.89500000000004,2.223609252806497,413.6095,1.943419165914663,474.48080000000004,1.8250974834314417,533.4852000000001,1.6020828684437987,584.1269000000001,1.8279075922197074,225.23190000000005,2.4873384532411804
Sweden,481.76606539700737,2.063120952774418,95.60213782967966,1.0886531661381809,355.91139999999996,2.914779546862092,412.9686,2.8693055611893645,482.8747999999999,2.6788559861596415,549.6724,2.794046763209236,606.9110000000001,2.7550094720546965,250.99960000000002,3.63340695416621
Switzerland,507.99058644870297,2.143699976679563,96.03117515650695,1.2194305577575812,379.44570000000004,3.007625043581362,439.46199999999993,3.1299014551624125,508.74440000000004,2.8301976637880077,577.7522,2.6397846265262763,632.1796,2.7401975738783766,252.7339,3.7842349242908058
Türkiye,453.15176740183233,1.5881505412241452,89.81236762350801,1.0356932340767606,340.7555,2.3498008644942225,387.2165,2.37376213682463,446.6616,2.399647706666776,515.0344,2.2216254000918676,576.3094,2.563739938438449,235.55390000000003,3.406356138937596
United Kingdom*,488.9750850657636,2.217951134425657,96.41668499040652,1.3319332637952679,363.01130000000006,3.051194061369896,422.3587,2.809820983077824,488.56179999999995,2.6696294941121197,555.0897,2.889048834247471,613.8832000000001,4.099053742498251,250.87189999999998,4.6877942834586666
United States*,464.88804301212303,4.0067230940460865,94.5141299641828,1.798531425682674,344.5259000000001,4.024367321151933,395.68820000000005,4.166164131578351,461.53279999999995,4.6678284474689065,530.6320999999999,4.546961092693911,590.1127,5.9298542813743165,245.58680000000004,5.599814032874472
OECD average,472.3576499228968,0.3977541338120595,90.13069842949052,0.2262696356802469,354.6813148648649,0.5587593653105928,408.2320027027027,0.5238367449597784,471.9596783783783,0.4862840869719641,535.3326891891893,0.4835240742181013,589.9514702702703,0.5633413071348852,235.2701554054054,0.7124909834462158
Albania,368.2217199510451,2.086251060160973,84.89426252115729,1.3341741251754582,265.6876,2.5314739690763357,308.20820000000003,2.2133086544808904,360.8525000000001,2.555379390972219,423.1980000000001,2.875372600517293,481.4601,3.529756021077565,215.7725,3.833504079385681
Argentina,377.52902864845396,2.251655477609575,74.4228116090732,1.0643953263847457,286.5186,2.792337175597214,324.80640000000005,2.346955461869697,372.0307,2.547815297465652,425.323,2.7932988205654286,476.8405000000001,3.3447773587257537,190.32190000000003,3.5089706896119166
Baku (Azerbaijan),396.8822928708397,2.3842095811680823,85.0657725050319,1.0979281015896871,290.2805,2.4623280621305415,335.7418,2.652888833082618,392.822,2.668991684658795,454.6129,2.9831625371966113,511.35069999999996,3.6314821542159517,221.0702,3.4303433064749966
Brazil,378.6913669469825,1.5814188662379303,76.61713261246402,1.1784299919516905,288.2781,1.584830185698141,324.6847000000001,1.240771937198328,370.30240000000003,1.7413263565056092,424.7369000000001,2.4045635268057386,481.92840000000007,3.127160924331633,193.65030000000002,3.2483197008008804
Brunei Darussalam,442.09310447098136,0.9259904623487327,83.72474878492108,0.6705025532288874,336.94319999999993,1.978863583109141,382.99840000000006,1.1876959452958606,437.0060000000001,1.5078555845600392,498.7456,1.6138582536201143,555.7634,2.2860447212987265,218.82020000000003,3.2989965449949765
Bulgaria,417.30390037486825,3.3026884855371073,96.75384684811613,2.149696508080271,297.87780000000004,3.451900546900864,346.2056,3.2231533940640613,410.7668000000001,3.807845331169727,482.8691,4.908857197581736,548.7215,6.480487092675462,250.84370000000004,6.7618443004458655
Cambodia,336.39604125930657,2.6940088059293332,72.53922418865943,1.5987928799907565,244.12040000000002,3.1199826979577256,287.9163,2.9742426512195266,336.4438,2.7067737739481217,383.27880000000005,3.3880190776551937,428.1918,4.506612286469241,184.07139999999998,4.562943231986711
Croatia,463.1051893674915,2.378917216519759,87.9459641364443,1.3813806082941065,351.75690000000003,3.168729310627175,400.2114,2.865398059607077,459.2235,2.9316140881915733,523.5279999999999,3.4615070478365535,581.8275000000001,3.7411788111428783,230.0706,4.516213658755282
Cyprus,418.30668002350967,1.1789263900498237,100.65562849794334,0.908907229113389,294.1154,1.9913034339974445,342.9254000000001,1.8600021287323552,411.0699000000001,1.8261840022297868,487.2654,2.0606217804881664,555.9667,2.770354801184215,261.8513,3.3408163027128976
Dominican Republic,339.10724673258596,1.6233523102415568,53.987081406348956,1.2688724364178912,272.872,2.0748987054592907,301.87499999999994,1.8302104528350542,335.43090000000007,1.5156130089560012,372.7422,2.265980246677656,410.3717000000001,2.911983820973446,137.49970000000002,3.250024335015733
El Salvador,343.4691009767227,2.0024105959700442,59.427775890790535,1.1419553374864921,271.6171,2.2817149224261617,302.62030000000004,1.8538953969352676,338.4628,2.0146807003702727,379.5364,2.727724151014499,422.8131000000001,3.900342998877006,151.196,3.8763134692213224
Georgia,390.0242203216826,2.3735751482903424,84.53693130902205,2.223703976016661,288.2259,2.6607270941313095,330.1907000000001,2.0501369150755697,382.7322,2.248321482332244,443.6449,3.2096165780008308,502.446,4.902635643145886,214.22010000000006,5.327445413141275
Guatemala,344.19948813728763,2.2107654957029585,68.72594577799806,1.6850905210895224,256.28650000000005,3.1183953466130254,298.7884,2.4472933318997723,343.24170000000004,2.05974188323575,388.6216,2.5439978578399844,431.85450000000003,4.348619018659199,175.568,4.991218654074154
Hong Kong (China)*,540.3518012286893,2.9875390128314243,104.52488416131928,1.6519055163157785,398.48440000000005,5.198732884986924,469.4204,4.36882730114412,545.4759,3.2446835717361537,613.7067,3.0122046405692138,672.3466000000001,4.058755998729451,273.86220000000003,5.671405772332329
Indonesia,365.525253871577,2.3511455919248037,62.27353625497863,1.2818648426741144,290.3537,2.442895767123063,323.0643,2.1331873181801053,361.0123,2.452261519637421,403.7919,3.2894218758561657,447.9302,3.766505004919461,157.5765,3.6158799988538237
